id,display_name,works_api_url,h_index,works_count,country_code
A5014621519,Leticia Priebe Rocha,https://api.openalex.org/works?filter=author.id:A5014621519,4,5,US
A5111531404,Wilbert E. Fordyce,https://api.openalex.org/works?filter=author.id:A5111531404,24,98,US
A5058416733,Kathy N. Speechley,https://api.openalex.org/works?filter=author.id:A5058416733,40,165,CA
A5017465110,Gregory L. Alexander,https://api.openalex.org/works?filter=author.id:A5017465110,32,254,US
A5113775732,Anne Cocos,https://api.openalex.org/works?filter=author.id:A5113775732,9,21,BE
A5062800749,Alison Callahan,https://api.openalex.org/works?filter=author.id:A5062800749,27,102,US
A5021431284,Denise Whitelock,https://api.openalex.org/works?filter=author.id:A5021431284,32,232,GB
A5007623580,Abbas Ehsanfar,https://api.openalex.org/works?filter=author.id:A5007623580,4,8,US
A5001390698,Richard M. Ryan,https://api.openalex.org/works?filter=author.id:A5001390698,197,739,US
A5054660259,Jennifer L. Stewart,https://api.openalex.org/works?filter=author.id:A5054660259,43,197,US
A5066383454,Faxu Lin,https://api.openalex.org/works?filter=author.id:A5066383454,10,25,CN
A5068043486,Hanghang Tong,https://api.openalex.org/works?filter=author.id:A5068043486,57,528,US
A5070491108,Paolo Bajardi,https://api.openalex.org/works?filter=author.id:A5070491108,21,62,IT
A5028392704,Harry Yaojun Yan,https://api.openalex.org/works?filter=author.id:A5028392704,5,24,US
A5061070355,Emily Cibelli,https://api.openalex.org/works?filter=author.id:A5061070355,8,42,US
A5078856847,Romeo Frega,https://api.openalex.org/works?filter=author.id:A5078856847,4,4,IT
A5005030378,Timothy H. Keitt,https://api.openalex.org/works?filter=author.id:A5005030378,43,115,US
A5085344934,Nanthia Suthana,https://api.openalex.org/works?filter=author.id:A5085344934,33,68,US
A5014931127,Molly J. Crockett,https://api.openalex.org/works?filter=author.id:A5014931127,50,200,US
A5058967410,Wolf E. Hautz,https://api.openalex.org/works?filter=author.id:A5058967410,24,138,CH
A5020270129,Tommaso Lorenzi,https://api.openalex.org/works?filter=author.id:A5020270129,21,145,IT
A5067764452,H. Clark Barrett,https://api.openalex.org/works?filter=author.id:A5067764452,43,167,US
