node,display_name,country,citations,first_publication,community
A5011797382,Palash Goyal,US,109,2018,14
A5076796267,Mohammed Almukaynizi,SA,103,2018,14
A5081115472,Paulo Shakarian,US,303,2011,14
A5033519947,Anfan Chen,HK,191,2019,26
A5066165708,Zhuo Chen,FI,140,2017,26
A5016338164,Tim J. van Hartevelt,DK,286,2015,10
A5038640590,Henrique M. Fernandes,DK,91,2016,10
A5043559110,Morten L. Kringelbach,GB,5515,2012,10
A5047963275,Gustavo Deco,ES,8641,2008,10
A5050966346,Paul Expert,GB,712,2010,10
A5079810332,Federico Turkheimer,GB,1142,2006,10
A5083781376,Louis-David Lord,GB,219,2016,10
A5067523596,Lisa Campioni,IT,81,2019,10
A5090572063,Enrica L. Santarcangelo,IT,142,2007,10
A5024451217,Gaurav Suri,GB,2033,2012,29
A5033484534,Maxim Milyavsky,IL,263,2015,29
A5058826186,Jessica R. Fernandez,US,97,2018,29
A5075852205,Arie W. Kruglanski,US,1942,2010,29
A5103084598,David Webber,US,675,2015,29
A5002202464,Olaf Sporns,US,8362,1994,14
A5045525642,Manish Saggar,US,330,2009,10
A5069546508,Caleb Geniesse,US,69,2019,10
A5038897083,Andrés Abeliuk,CL,326,2013,23
A5068804090,Vikram Krishnamurthy,US,242,2013,14
A5080503570,Buddhika Nettasinghe,US,89,2019,14
A5090572574,Nazanin Alipourfard,US,262,2017,14
A5001716299,Jodi Schneider,US,121,2010,31
A5057976295,Tzu‐Kun Hsiao,US,65,2019,31
A5000361569,Erika Weisz,US,941,2016,29
A5017619946,Mina Cikara,US,1041,2008,29
A5022827102,Timothy D. Sweeny,US,155,2013,29
A5036895728,Johannes Uhl,BE,272,2017,8
A5087645671,Stefan Leyk,US,272,2017,8
A5046006076,Christopher D. Manning,US,56240,2003,12
A5063737268,Mark Krass,US,31,2022,12
A5011344987,Ion Muslea,US,725,1998,8
